id,projectorsid,begin_date,end_date
37,12,2018-05-26 14:06:48.753,null
38,6,2018-05-26 14:06:58.15,null
36,7,2018-05-26 14:06:04.824,2018-05-26 14:14:00.951
40,7,2018-05-26 14:14:05.821,2018-05-26 14:14:10.659
41,13,2018-05-26 14:16:10.609,2018-05-26 15:03:50.566
42,13,2018-05-26 15:03:53.802,null
39,11,2018-05-26 14:13:38.435,2018-05-26 15:04:14.531
43,11,2018-05-26 15:04:17.032,2018-05-26 15:05:23.323
44,11,2018-05-26 15:05:25.496,null
45,11,2018-05-26 16:17:47.874,null
46,10,2018-05-26 16:17:48.963,null
