id,usersid,datetime,tableid,action_typesid,tablenamesid
1,1,2018-05-08 22:31:05.967,1,7,6
2,1,2018-05-08 22:31:31.229,1,4,5
3,1,2018-05-08 22:31:34.701,1,5,5
4,1,2018-05-08 22:39:10.129,2,1,5
5,1,2018-05-08 23:01:30.197,1,7,6
6,1,2018-05-08 23:01:42.521,2,4,5
7,1,2018-05-08 23:14:10.907,2,5,5
8,1,2018-05-08 23:58:50.394,1,7,6
9,1,2018-05-08 23:59:00.436,2,4,5
10,1,2018-05-08 23:59:09.526,2,5,5
11,1,2018-05-08 23:59:14.461,2,4,5
12,1,2018-05-08 23:59:18.4,2,5,5
13,1,2018-05-09 00:07:53.824,2,4,5
14,1,2018-05-09 00:07:55.942,2,5,5
15,1,2018-05-09 00:08:38.338,2,4,5
16,1,2018-05-09 00:08:44.336,2,5,5
17,1,2018-05-09 00:12:47.365,1,7,6
18,1,2018-05-09 00:13:39.538,2,4,5
19,1,2018-05-09 00:13:47.196,2,5,5
20,1,2018-05-09 00:13:50.153,2,4,5
21,1,2018-05-09 00:13:51.844,2,5,5
22,1,2018-05-09 00:13:53.487,2,4,5
23,1,2018-05-09 00:13:55.782,2,5,5
24,1,2018-05-09 00:13:57.77,2,4,5
25,1,2018-05-09 00:13:59.289,2,5,5
26,1,2018-05-09 00:14:01.292,2,4,5
27,1,2018-05-09 00:14:03.025,2,5,5
28,1,2018-05-09 00:14:04.389,2,4,5
29,1,2018-05-09 00:14:05.56,2,5,5
30,1,2018-05-09 00:14:06.683,2,4,5
31,1,2018-05-09 00:14:07.727,2,5,5
32,1,2018-05-09 00:14:08.836,2,4,5
33,1,2018-05-09 00:14:10.185,2,5,5
34,1,2018-05-09 00:14:42.842,2,4,5
35,1,2018-05-09 00:16:22.555,2,5,5
36,1,2018-05-09 00:16:25.604,2,4,5
37,1,2018-05-09 00:19:27.72,1,7,6
38,1,2018-05-09 00:20:13.444,2,5,5
39,1,2018-05-09 00:33:40.283,1,7,6
40,1,2018-05-09 00:34:11.254,2,4,5
41,1,2018-05-09 00:34:16.025,2,5,5
42,1,2018-05-09 00:34:19.031,2,4,5
43,1,2018-05-09 00:34:21.861,2,5,5
44,1,2018-05-25 17:44:56.698,1,7,6
45,1,2018-05-25 18:18:14.062,1,7,6
46,1,2018-05-25 18:18:22.881,9,2,1
47,1,2018-05-25 18:31:13.43,10,2,1
48,1,2018-05-25 18:42:45.075,1,7,6
49,1,2018-05-25 18:47:16.748,12,1,1
50,1,2018-05-25 18:48:49,3,1,5
51,1,2018-05-25 18:48:54.318,2,6,5
52,1,2018-05-25 18:49:05.713,11,2,1
53,1,2018-05-25 18:49:07.247,12,2,1
54,1,2018-05-25 18:49:19.914,13,1,1
55,1,2018-05-25 19:05:56.564,3,4,5
56,1,2018-05-26 09:00:19.491,1,7,6
57,1,2018-05-26 09:31:43.108,1,7,6
58,1,2018-05-26 09:34:05.603,4,1,5
59,1,2018-05-26 09:34:11.097,5,1,5
60,1,2018-05-26 09:34:22.71,14,1,1
61,1,2018-05-26 09:34:42.678,15,1,1
62,1,2018-05-26 09:43:11.649,1,7,6
63,1,2018-05-26 09:47:36.482,1,7,6
64,1,2018-05-26 09:54:37.372,1,7,6
65,1,2018-05-26 09:59:07.402,1,7,6
66,1,2018-05-26 10:06:08.06,1,7,6
67,1,2018-05-26 10:12:59.506,1,7,6
68,1,2018-05-26 10:24:20.988,1,7,6
69,1,2018-05-26 10:31:12.992,1,7,6
70,1,2018-05-26 11:31:04.325,1,7,6
71,1,2018-05-26 11:34:25.183,1,7,6
72,1,2018-05-26 11:43:23.593,1,7,6
73,1,2018-05-26 11:43:23.593,1,7,6
74,1,2018-05-26 11:57:17.393,1,7,6
75,1,2018-05-26 11:57:52.958,2,5,5
76,1,2018-05-26 11:57:56.888,2,4,5
77,1,2018-05-26 11:57:58.66,2,5,5
78,1,2018-05-26 11:58:00.094,2,4,5
79,1,2018-05-26 11:58:07.01,2,6,5
80,1,2018-05-26 12:05:03.187,1,7,6
81,1,2018-05-26 12:08:49.668,3,6,5
82,1,2018-05-26 12:08:51.498,3,5,5
83,1,2018-05-26 12:08:51.66,3,6,5
84,1,2018-05-26 12:08:53.3,3,5,5
85,1,2018-05-26 12:08:53.437,3,6,5
86,1,2018-05-26 12:08:56.863,3,5,5
87,1,2018-05-26 12:08:58.549,3,4,5
88,1,2018-05-26 12:08:58.688,3,4,5
89,1,2018-05-26 12:08:58.87,3,4,5
90,1,2018-05-26 12:10:06.313,5,4,5
91,1,2018-05-26 12:10:08.92,5,5,5
92,1,2018-05-26 12:10:11.45,5,4,5
93,1,2018-05-26 12:10:14.035,5,5,5
94,1,2018-05-26 12:10:16.489,5,4,5
95,1,2018-05-26 12:10:18.018,5,5,5
96,1,2018-05-26 12:10:20.012,5,4,5
97,1,2018-05-26 12:10:21.291,5,5,5
98,1,2018-05-26 12:10:21.374,5,5,5
99,1,2018-05-26 12:10:21.65,5,5,5
100,1,2018-05-26 12:10:21.72,5,5,5
101,1,2018-05-26 12:10:23.368,5,4,5
102,1,2018-05-26 12:10:24.637,5,5,5
103,1,2018-05-26 12:10:24.728,5,5,5
104,1,2018-05-26 12:10:24.881,5,5,5
105,1,2018-05-26 12:10:26.582,5,4,5
106,1,2018-05-26 12:10:27.347,5,5,5
107,1,2018-05-26 12:10:28.683,5,4,5
108,1,2018-05-26 12:10:29.646,5,5,5
109,1,2018-05-26 12:10:29.944,5,5,5
112,1,2018-05-26 12:10:33.259,5,4,5
110,1,2018-05-26 12:10:32.534,5,4,5
111,1,2018-05-26 12:10:32.71,5,4,5
113,1,2018-05-26 13:42:55.238,1,7,6
114,1,2018-05-26 13:44:05.293,14,2,1
115,1,2018-05-26 13:44:09.371,15,2,1
116,1,2018-05-26 13:46:53.197,4,2,5
117,1,2018-05-26 13:46:56.135,2,2,5
118,1,2018-05-26 13:46:58.628,3,2,5
119,1,2018-05-26 13:47:01.393,5,2,5
120,1,2018-05-26 13:47:18.768,3,2,6
121,1,2018-05-26 13:47:22.028,10,2,6
122,1,2018-05-26 13:47:27.12,11,2,6
123,1,2018-05-26 13:47:30.06,2,2,6
124,1,2018-05-26 13:57:04.723,103,3,6
125,1,2018-05-26 14:05:01.359,6,1,5
126,1,2018-05-26 14:05:07.67,7,1,5
127,1,2018-05-26 14:05:13.737,8,1,5
128,1,2018-05-26 14:05:18.721,9,1,5
129,1,2018-05-26 14:05:24.171,10,1,5
130,1,2018-05-26 14:05:28.978,11,1,5
131,1,2018-05-26 14:05:38.006,12,1,5
132,1,2018-05-26 14:05:44.607,13,1,5
133,1,2018-05-26 14:06:05.053,7,4,5
134,1,2018-05-26 14:06:29.867,13,6,5
135,1,2018-05-26 14:06:39.072,9,6,5
136,1,2018-05-26 14:06:48.761,12,4,5
137,1,2018-05-26 14:06:58.158,6,4,5
138,1,2018-05-26 14:07:04.787,13,5,5
139,1,2018-05-26 14:07:06.172,13,6,5
140,1,2018-05-26 14:10:16.278,16,1,1
141,1,2018-05-26 14:13:38.443,11,4,5
142,1,2018-05-26 14:14:01.036,7,5,5
143,1,2018-05-26 14:14:05.833,7,4,5
144,1,2018-05-26 14:14:10.667,7,5,5
145,1,2018-05-26 14:14:35.48,17,1,1
146,1,2018-05-26 14:15:22.019,18,1,1
147,1,2018-05-26 14:16:02.675,19,1,1
148,1,2018-05-26 14:16:08.936,13,5,5
149,1,2018-05-26 14:16:10.621,13,4,5
150,1,2018-05-26 14:19:05.154,1,1,2
151,1,2018-05-26 14:19:05.354,2,1,2
152,1,2018-05-26 14:19:05.688,3,1,2
153,1,2018-05-26 14:19:05.788,4,1,2
154,1,2018-05-26 14:19:05.864,5,1,2
155,1,2018-05-26 14:19:06.798,6,1,2
156,1,2018-05-26 14:19:06.91,7,1,2
157,1,2018-05-26 14:19:07.028,8,1,2
158,1,2018-05-26 14:19:07.092,9,1,2
159,1,2018-05-26 14:19:42.586,10,1,2
160,1,2018-05-26 14:19:52.473,11,1,2
161,1,2018-05-26 14:19:52.521,12,1,2
162,1,2018-05-26 14:20:08.266,13,1,2
163,1,2018-05-26 14:20:08.334,14,1,2
164,1,2018-05-26 14:20:42.568,15,1,2
165,1,2018-05-26 14:20:56.33,16,1,2
166,1,2018-05-26 14:22:43.435,17,1,2
167,1,2018-05-26 14:22:43.496,18,1,2
168,1,2018-05-26 14:22:43.58,19,1,2
169,1,2018-05-26 14:23:36.132,20,1,2
170,1,2018-05-26 14:23:36.172,21,1,2
171,1,2018-05-26 14:23:36.206,22,1,2
172,101,2018-05-26 14:27:36.14,101,7,6
173,1,2018-05-26 14:34:28.191,1,7,6
174,1,2018-05-26 14:54:32.675,1,7,6
175,1,2018-05-26 14:55:32.313,1,1,4
176,1,2018-05-26 14:56:34.562,2,1,4
177,1,2018-05-26 14:56:53.683,3,1,4
178,1,2018-05-26 14:57:18.931,4,1,4
179,1,2018-05-26 14:59:53.354,5,1,4
180,1,2018-05-26 15:01:55.834,1,1,3
181,1,2018-05-26 15:01:56.024,2,1,3
182,1,2018-05-26 15:01:56.085,3,1,3
183,1,2018-05-26 15:01:56.177,4,1,3
184,1,2018-05-26 15:02:21.546,5,1,3
185,1,2018-05-26 15:03:39.453,6,1,3
186,1,2018-05-26 15:03:39.509,7,1,3
187,1,2018-05-26 15:03:50.617,13,5,5
188,1,2018-05-26 15:03:53.833,13,4,5
189,1,2018-05-26 15:04:14.544,11,5,5
190,1,2018-05-26 15:04:17.039,11,4,5
191,1,2018-05-26 15:04:26.694,16,3,1
192,1,2018-05-26 15:05:09.456,8,1,3
193,1,2018-05-26 15:05:09.517,9,1,3
194,1,2018-05-26 15:05:09.571,10,1,3
195,1,2018-05-26 15:05:09.633,11,1,3
196,1,2018-05-26 15:05:09.686,12,1,3
197,1,2018-05-26 15:05:09.746,13,1,3
198,1,2018-05-26 15:05:23.331,11,5,5
199,1,2018-05-26 15:05:25.502,11,4,5
200,101,2018-05-26 15:13:39.35,101,7,6
201,101,2018-05-26 15:14:23.969,101,3,6
202,101,2018-05-26 15:16:55.316,101,3,6
203,101,2018-05-26 15:18:02.082,101,3,6
204,1,2018-05-26 15:24:58.256,1,7,6
205,1,2018-05-26 15:26:17.005,103,3,6
206,101,2018-05-26 15:35:16.595,101,7,6
207,1,2018-05-26 15:58:32.363,103,3,6
208,1,2018-05-26 16:17:48.5,11,4,5
209,1,2018-05-26 16:17:49.024,10,4,5
210,101,2018-05-26 16:20:55.819,101,7,6
